Atributo,Tipo de Dado,Valores Únicos,Valores Ausentes,Estatísticas Descritivas
Unnamed: 0,int64,933954,0,"{'count': 933954.0, 'mean': 466976.5, 'std': 269609.44099289255, 'min': 0.0, '25%': 233488.25, '50%': 466976.5, '75%': 700464.75, 'max': 933953.0}"
Satelite,object,1,0,{}
Pais,object,1,0,{}
Estado,object,9,0,{}
Municipio,object,543,0,{}
Bioma,object,1,0,{}
DiaSemChuva,float64,446,6260,"{'count': 927694.0, 'mean': -0.6177026045226119, 'std': 98.65747960600295, 'min': -999.0, '25%': 0.0, '50%': 3.0, '75%': 8.0, 'max': 731.0}"
Precipitacao,float64,4308,6260,"{'count': 927694.0, 'mean': 1.1564420487790148, 'std': 4.035387233706832, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.4, 'max': 143.0}"
RiscoFogo,float64,102,6260,"{'count': 927694.0, 'mean': -3.0416473212072086, 'std': 60.29946244643601, 'min': -999.0, '25%': 0.22, '50%': 0.7, '75%': 1.0, 'max': 1.0}"
Latitude,float64,264820,0,"{'count': 933954.0, 'mean': -6.6969679158074165, 'std': 3.8664275546700733, 'min': -16.288, '25%': -9.591, '50%': -7.3, '75%': -3.515, 'max': 5.154}"
Longitude,float64,289477,0,"{'count': 933954.0, 'mean': -57.0776097637785, 'std': 6.847157504048814, 'min': -73.674, '25%': -62.148, '50%': -55.83782, '75%': -51.625, 'max': -43.654}"
FRP,float64,9721,386087,"{'count': 547867.0, 'mean': 60.354186326243415, 'std': 143.07308023335736, 'min': 0.0, '25%': 14.5, '50%': 26.6, '75%': 55.4, 'max': 8598.4}"
Ano,int64,11,0,"{'count': 933954.0, 'mean': 2018.5799739601737, 'std': 2.910293546856262, 'min': 2014.0, '25%': 2016.0, '50%': 2019.0, '75%': 2021.0, 'max': 2024.0}"
Mes,int64,12,0,"{'count': 933954.0, 'mean': 8.752217989322814, 'std': 2.053232207035781, 'min': 1.0, '25%': 8.0, '50%': 9.0, '75%': 10.0, 'max': 12.0}"
Dia,int64,31,0,"{'count': 933954.0, 'mean': 15.498857545446564, 'std': 8.685708253930054, 'min': 1.0, '25%': 8.0, '50%': 15.0, '75%': 23.0, 'max': 31.0}"
Hora,int64,5,0,"{'count': 933954.0, 'mean': 16.919183385905516, 'std': 0.6614577426515589, 'min': 15.0, '25%': 16.0, '50%': 17.0, '75%': 17.0, 'max': 19.0}"
